dealer,color,month,month_name,si
DEALER 18,Grey2,6,Haziran,0.4932
DEALER 18,Grey2,7,Temmuz,0.9863
DEALER 18,Grey2,8,Ağustos,0.8219
DEALER 18,Grey2,9,Eylül,0.4932
DEALER 18,Grey2,10,Ekim,0.6575
DEALER 18,Grey2,11,Kasım,0.4932
DEALER 18,Grey2,12,Aralık,0.4932
DEALER 18,Beige,1,Ocak,0.8571
DEALER 18,Beige,2,Şubat,0.4286
DEALER 18,Beige,3,Mart,0.8571
DEALER 18,Beige,4,Nisan,0.4286
DEALER 18,Beige,5,Mayıs,0.4286
DEALER 18,Beige,6,Haziran,0.4286
DEALER 18,Beige,7,Temmuz,1.0714
DEALER 18,Beige,8,Ağustos,0.6429
DEALER 18,Beige,9,Eylül,1.5
DEALER 18,Beige,10,Ekim,1.2857
DEALER 18,Beige,11,Kasım,1.5
DEALER 18,Beige,12,Aralık,2.5714
DEALER 18,Black2,1,Ocak,1.3091
DEALER 18,Black2,2,Şubat,0.6545
DEALER 18,Black2,3,Mart,0.4364
DEALER 18,Black2,4,Nisan,0.4364
DEALER 18,Black2,5,Mayıs,0.4364
DEALER 18,Black2,6,Haziran,0.8727
DEALER 18,Black2,7,Temmuz,0.4364
DEALER 18,Black2,8,Ağustos,1.3091
DEALER 18,Black2,9,Eylül,1.0909
DEALER 18,Black2,10,Ekim,0.8727
DEALER 18,Black2,11,Kasım,2.1818
DEALER 18,Black2,12,Aralık,1.9636
DEALER 18,Grey3,1,Ocak,1.5319
DEALER 18,Grey3,2,Şubat,0.5106
DEALER 18,Grey3,3,Mart,0.5106
DEALER 18,Grey3,4,Nisan,0.0
DEALER 18,Grey3,5,Mayıs,0.5106
DEALER 18,Grey3,6,Haziran,1.0213
DEALER 18,Grey3,7,Temmuz,1.0213
DEALER 18,Grey3,8,Ağustos,0.766
DEALER 18,Grey3,9,Eylül,2.0426
DEALER 18,Grey3,10,Ekim,0.0
DEALER 18,Grey3,11,Kasım,1.7872
DEALER 18,Grey3,12,Aralık,2.2979
DEALER 18,Black1,1,Ocak,1.1538
DEALER 18,Black1,2,Şubat,1.3846
DEALER 18,Black1,3,Mart,1.8462
DEALER 18,Black1,4,Nisan,1.1538
DEALER 18,Black1,5,Mayıs,0.4615
DEALER 18,Black1,6,Haziran,1.3846
DEALER 18,Black1,7,Temmuz,0.6923
DEALER 18,Black1,8,Ağustos,1.6154
DEALER 18,Black1,9,Eylül,0.4615
DEALER 18,Black1,10,Ekim,0.4615
DEALER 18,Black1,11,Kasım,0.9231
DEALER 18,Black1,12,Aralık,0.4615
DEALER 19,Black1,1,Ocak,1.1429
DEALER 19,Black1,2,Şubat,0.8571
DEALER 19,Black1,3,Mart,2.0
DEALER 19,Black1,4,Nisan,0.0
