Dealer Code Processing;Dealer Name;Long Chassis;Model Description;Vehicle Version;Vehicle Code;Model Year;Color Type;Exterior Color;Interior Color;Physical Status Description;Estimated Production Day;Estimated Production Week;Sales Type;Sales Type Description;Have a Customer;Invoiced?;Dispatchable;Quota Status;Central / Dealer Quota;Production Day;Related Month Availability;Status;Month Number
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000325;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Partially modifiable order;10.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;10.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000326;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Approved order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000327;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Approved order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000328;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;27.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;27.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000329;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;27.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;27.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000330;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;30.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;30.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000331;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;27.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;27.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000332;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;30.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;30.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000333;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;30.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;30.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000334;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;27.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;27.01.2026;Following Months;To Be Produced;January
